SNo, Status, Count, Version, PowerLevelRight, ProfileRight, Name, MonitorId, IRIdRight, IRIdVWLeft, Self Noise, AStar, Part, Rssi, Star, Pkts Upgraded, Upgrade Status, MonitorType, LocationCnt, TriggerCnt, SuperSyncTrigger, SuperSyncFrequency, IRProfile, Star MacId, Noise Level, AStar MacId, ProfileVWLeft, Super Sync, Time, Idx, RootCause, Master/Slave, PowerLevelVWLeft, SpecialBeaconMissed, BeaconReceiveCount, SuperSyncSlot, TriggerCountForIRNotRecv/DIM TriggerCount, LBI, LBI Value, Retry, Cycle Count
59, ,7790, M.12.1.12, Low,3, ,318097,1031,, No,439,2,-85,443, , , VW - 900 MHZ,1168,4, No, Frequency Range 1, 3 secs, 00:24:DD:00:BF:23, Medium, 00:24:DD:00:C5:72, , Super Sync ON,44270.63264,9, , Master, ,4693,8150417, , , No,747,3,13
60, ,7792, M.12.1.11, Low,3, ,350917,1295,, No,47,1,-58,74, , , VW - 900 MHZ,1078,, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:2E, Medium, 00:24:DD:00:CA:04, , Super Sync OFF,44270.63264,1, , Master, ,,6183633, , , No,749,1,14
61, ,7919, M.3.1.14, Medium,6, ,224119,2224,, No,257,1,-64,257, , , Monitor,20001,10, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:CC:45, Medium, 00:24:DD:00:CC:45, , Super Sync OFF,44270.63403,5, , Master, ,,7546682, , , No,765,2,56
62, ,7789, M.3.1.20, Medium,2, ,315008,592,, No,37,1,-82,37, , , Monitor,11409,, No, Frequency Range 1, 3 secs, 00:24:DD:00:C0:35, Medium, 00:24:DD:00:C0:35, , Super Sync OFF,44270.63264,2, , Master, ,,6586358, , , No,760,1,12
63, ,7786, M.12.1.6, Medium,3, ,318349,2407,, No,496,1,-47,498, , , VW - 900 MHZ,1326,10, No, Frequency Range 1, 3 secs, 00:24:DD:00:CE:7D, Medium, 00:24:DD:00:CA:B6, , Super Sync OFF,44270.63194,1, , Master, ,,7934562, , , No,743,1,12
64, ,7784, M.12.1.22, Medium,4, hallway entry of reception,555906,302,, No,564,1,-63,564, , , VW - 900 MHZ,116,27, No, Frequency Range 1, 3 secs, 00:24:DD:01:51:9E, Medium, 00:24:DD:01:51:9E, , Super Sync OFF,44270.63194,5, , Master, ,,7332, , , No,1023,1,11
65, ,7792, M.3.1.14, Low,4, ,224229,478,, No,50,1,-59,50, , , Monitor,15674,11, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:06, Low, 00:24:DD:00:CB:06, , Super Sync OFF,44270.63264,5, , Master, ,,6119568, , , No,761,1,14
66, ,7793, M.12.11.1, Medium,5, ,433991,1079,, No,267,1,-59,267, , , VW - 900 MHZ,7411,5615, No, Frequency Range 1, 3 secs, 00:24:DD:00:BD:9D, Medium, 00:24:DD:00:BD:9D, , Super Sync ON,44270.63264,0, , Master, ,56805,6216389, , , No,745,1,14
67, ,7792, M.12.1.12, Medium,1, ,317415,2160,, No,478,1,-38,478, , , VW - 900 MHZ,1455,13, No, Frequency Range 1, 3 secs, 00:24:DD:00:C0:42, Medium, 00:24:DD:00:C0:42, , Super Sync ON,44270.63264,7, , Master, ,28322,8152967, , , Yes,617,1,14
68, ,7812, M.12.1.12, Medium,3, ,309553,1018,, No,440,2,-66,440, , , VW - 900 MHZ,1939,24, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:C5:7D, Medium, 00:24:DD:00:C5:7D, , Super Sync ON,44270.63264,15, , Master, ,88637,8134846, , , No,738,1,20
69, ,7937, M.3.1.20, Medium,5, ,314331,1706,, No,240,1,-75,240, , , Monitor,91819,, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:C8:C1, Medium, 00:24:DD:00:C8:C1, , Super Sync OFF,44270.63403,9, , Master, ,,3250046, , , No,761,1,62
70, ,7793, M.12.1.12, Medium,5, ,392719,3957,, No,263,1,-60,263, , , VW - 900 MHZ,6797,, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:6C, High, 00:24:DD:00:CB:6C, , Super Sync ON,44270.63264,10, , Master, ,38051,4868346, , , No,1023,1,14
71, ,7783, M.12.1.11, Medium,4, ,353083,3786,, No,129,1,-85,134, , , VW - 900 MHZ,1450,, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:70, Medium, 00:24:DD:00:CB:A1, , Super Sync OFF,44270.63194,6, , Master, ,,7258951, , , No,746,1,11
72, ,7814, M.12.1.6, Medium,4, ,320082,3081,, No,191,1,-71,191, , , VW - 900 MHZ,1291,2, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:8E, Medium, 00:24:DD:00:CB:8E, , Super Sync ON,44270.63264,15, , Master, ,,7942346, , , No,691,2,21
73, ,7784, M.12.1.11, Medium,5, ,356167,3795,, No,129,1,-63,129, , , VW - 900 MHZ,3841,, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:A1, Medium, 00:24:DD:00:CB:A1, , Super Sync ON,44270.63194,12, , Master, ,48393,7247396, , , No,748,1,11
74, ,7786, M.12.1.12, Medium,4, ,321472,1291,, No,503,2,-57,503, , , VW - 900 MHZ,1958,2, No, Frequency Range 1, 3 secs, 00:24:DD:00:CD:EF, Medium, 00:24:DD:00:CD:EF, , Super Sync OFF,44270.63194,12, , Master, ,,8161370, , , No,737,2,12
75, ,7851, M.12.1.12, Medium,1, ,429213,2828,, No,308,1,-60,308, , , VW - 900 MHZ,1102,, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:CB:77, Medium, 00:24:DD:00:CB:77, , Super Sync ON,44270.63333,12, , Master, ,3939,5623755, , , No,748,1,33
76, ,7790, M.3.1.20, Medium,1, 900S01 R,281855,377,, No,357,2,-74,357, , , Monitor,16957,, No, Frequency Range 1, 3 secs, 00:24:DD:00:C5:1C, Low, 00:24:DD:00:C5:1C, , Super Sync OFF,44270.63264,5, , Master, ,,10130646, , , No,753,1,13
